No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,78.3,3.2,81.5,1 L,69.4,5356,6.3 R,25,2.3 L,3.6,38.1,-,-,14.69,77,50,Standard
2,54.5,36.8,91.3,8.1 L,83.1,2117,11 L,6.8,7.5 L,1.5,5.6,-,-,14.69,77,50,Standard
3,47.3,34.7,82,5.2 L,82.6,2345,17 L,5.7,4.9 L,1.3,4,-,-,14.69,77,50,Standard
4,97.8,14.4,112.2,7.2 L,84.8,2803,16.9 L,16.2,0.8 L,3.3,28.1,-,-,14.69,77,50,Standard
5,86.7,11.3,98,3.5 L,75.8,2535,22.5 L,21,1.8 R,3.3,31.6,-,-,14.69,77,50,Standard
6,22.8,31.1,53.9,3.2 L,61.9,1075,36.2 L,6.6,6.9 L,0.8,2.1,-,-,14.69,77,50,Standard
7,88,26.1,114,10.5 L,86.3,1225,18.7 L,13.6,4.5 L,2.6,19,-,-,14.69,77,50,Standard
8,107,10.2,117.1,11.2 L,86.5,3351,11.4 L,17.9,3.2 L,3.7,36.5,-,-,14.69,77,50,Standard
9,76.7,9.8,86.5,7.5 L,68.7,2459,4.2 L,23.3,4.9 L,3.2,30.8,-,-,14.69,77,50,Standard
10,73,6.2,79.2,8.5 L,67,3875,9.4 L,23.4,4.8 L,3.2,30.6,-,-,14.69,77,50,Standard
11,68.2,10.1,78.2,3.8 L,68,3652,45 L,22.4,4.1 R,2.8,25.9,-,-,14.69,77,50,Standard
12,74,26.4,100.4,6.6 L,81.5,1864,9.3 L,11.6,3.9 L,2.3,13.5,-,-,14.69,77,50,Standard
13,92,27.7,119.6,14.1 L,92.1,1956,24.7 L,11.3,5.1 L,2.6,17.1,-,-,14.69,77,50,Standard
14,68.4,22.2,90.6,10.4 L,75.3,2175,20.4 L,13.6,6.1 L,2.3,14.6,-,-,14.69,77,50,Standard
15,72.1,19.4,91.5,2.8 L,72.4,1349,9.2 L,17.3,1.1 L,2.6,19.6,-,-,14.69,77,50,Standard
16,85,4.1,89.1,3.6 L,72.2,4470,5.2 L,25.7,1.1 L,3.8,42.7,-,-,14.69,77,50,Standard
17,78.8,6.3,85.1,3.1 L,68.7,3281,6 L,25.7,1 L,3.5,37,-,-,14.69,77,50,Standard
18,99.8,14.4,114.2,4 R,84.3,2370,16.5 R,17.7,0.9 L,3.4,31.1,-,-,14.69,77,50,Standard
