No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,266.1,10,276.1,7.8 L,160.9,2817,6.2 L,11.5,0.9 R,6.6,92,-,-,14.69,77,50,Standard
2,198.7,4.5,203.2,0.7 L,129.5,4477,1.5 R,15.8,0.9 L,6.3,93.3,-,-,14.69,77,50,Standard
3,276.7,7.9,284.6,12.4 R,161.7,2607,0.4 R,15.4,2.4 R,7.4,126.2,-,-,14.69,77,50,Standard
4,269.5,6.2,275.6,38.4 R,161.7,3357,10.4 R,14.7,3.3 R,7.4,125.3,-,-,14.69,77,50,Standard
5,105.7,0.9,104.8,3.8 R,90.7,11059,2 R,29.5,1.1 R,5.5,88.8,-,-,14.69,77,50,Standard
6,190.6,3.5,194.1,0,126.8,5041,1 L,16.7,0.5 R,6.4,97.3,-,-,14.69,77,50,Standard
7,257.6,5.8,263.3,7.4 L,156.2,3640,5.3 L,14.4,0.9 R,7.3,119.1,-,-,14.69,77,50,Standard
8,164.9,1.7,166.6,4.1 L,116.6,6279,2.8 L,19.8,0,6.2,99.8,-,-,14.69,77,50,Standard
9,246.9,5.5,252.4,0.3 L,149.3,3351,6.8 L,17.4,3.1 R,7.3,129,-,-,14.69,77,50,Standard
10,283.7,8.5,292.2,3.8 R,164.5,2292,5.8 L,15.5,3.2 R,7.4,127.1,-,-,14.69,77,50,Standard
11,274.8,8.8,283.6,4 R,162.1,2600,7 L,14.1,3.8 R,7.1,114,-,-,14.69,77,50,Standard
12,127.3,0.4,127.7,1.7 L,99.4,7857,1.8 L,26.6,0.1 R,5.8,96.4,-,-,14.69,77,50,Standard
13,251.9,5,256.9,26.5 R,154.5,3998,3.1 R,14.2,4.5 R,7.3,118.6,-,-,14.69,77,50,Standard
14,137.4,0,137.4,2.1 R,107.2,8602,2.3 L,25.6,2.1 R,6.2,109.5,-,-,14.69,77,50,Standard
15,257.1,1.9,259,22.1 R,160.2,3658,7.2 R,25.6,1 R,8.9,218.8,-,-,14.69,77,50,Standard
16,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard
17,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard
18,62.1,1.6,63.7,2.1 R,61,8986,1 R,29.7,1.7 R,3.5,37.4,-,-,14.69,77,50,Standard
19,274.5,10.9,285.4,11 L,161.9,2165,7.9 L,13.6,0.8 R,6.8,104.1,-,-,14.69,77,50,Standard
20,94.7,0.7,94,8.7 R,82.5,10659,4 R,29.5,3.6 R,5,72.4,-,-,14.69,77,50,Standard
21,178.9,0.9,179.8,12.1 R,128.9,4062,6.5 R,35.9,0.4 R,8.2,206.7,-,-,14.69,77,50,Standard
22,196.3,3.8,200.2,0.4 L,128.9,4769,1.1 L,16.7,0.4 R,6.5,99.6,-,-,14.69,77,50,Standard
23,173.3,2,175.3,5.7 R,120.4,5812,0.6 L,21.7,2.2 R,6.6,116,-,-,14.69,77,50,Standard
24,280.6,9.6,290.1,15.6 R,163.1,2167,3.5 L,14.8,4.6 R,7.1,117.6,-,-,14.69,77,50,Standard
25,67.5,1.2,68.8,1 L,64.4,9315,1.8 R,30.1,1.4 L,3.8,43,-,-,14.69,77,50,Standard
26,278.4,11.7,290.1,16.4 L,164.2,1787,19.6 L,15.2,3.8 R,6.8,111.3,-,-,14.69,77,50,Standard
27,168.2,1.8,169.9,1.4 R,117.9,5973,2.8 L,21.4,1.9 R,6.5,109.6,-,-,14.69,77,50,Standard
28,211.2,3.4,214.6,8.8 L,136.4,4644,8.9 L,18.2,2.1 R,7,120.3,-,-,14.69,77,50,Standard
29,37.4,1.1,38.5,5.8 R,44.8,7010,6.3 R,39.7,7.8 R,2.9,28.9,-,-,14.69,77,50,Standard
30,283.6,9.9,293.5,18.9 R,164.8,2125,3.5 R,14.4,2.4 R,7.1,116,-,-,14.69,77,50,Standard
31,141.1,0.1,141,8.2 L,110.1,8008,3.5 L,27.9,1.4 L,6.6,125,-,-,14.69,77,50,Standard
32,257.8,6.2,264,21.2 L,155.8,3304,12.9 L,15.7,1.2 R,7.2,122.9,-,-,14.69,77,50,Standard
33,62.1,1.6,63.7,2.1 R,61,8986,1 R,29.7,1.7 R,3.5,37.4,-,-,14.69,77,50,Standard
34,274.5,10.9,285.4,11 L,161.9,2165,7.9 L,13.6,0.8 R,6.8,104.1,-,-,14.69,77,50,Standard
35,94.7,0.7,94,8.7 R,82.5,10659,4 R,29.5,3.6 R,5,72.4,-,-,14.69,77,50,Standard
36,178.9,0.9,179.8,12.1 R,128.9,4062,6.5 R,35.9,0.4 R,8.2,206.7,-,-,14.69,77,50,Standard
37,196.3,3.8,200.2,0.4 L,128.9,4769,1.1 L,16.7,0.4 R,6.5,99.6,-,-,14.69,77,50,Standard
