No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,94.9,0.5,95.3,0.7 L,80.1,8561,0.4 R,26.6,0.6 L,4.6,59.7,-,-,14.69,77,50,Standard
2,260.5,22.7,282.7,42 L,171.2,1589,36.1 L,11.3,1.2 R,5.4,69.2,-,-,14.69,77,50,Standard
3,277,12.6,289.5,45 L,168.9,2173,25.1 L,13.1,0.1 L,6.5,97.6,-,-,14.69,77,50,Standard
4,107.7,0.7,107,0.8 R,90.7,10838,1.6 R,27.2,0.3 L,5.4,81.5,-,-,14.69,77,50,Standard
5,198,13.1,211.1,15.7 L,132.8,3130,1.8 R,10.2,5.2 L,5.2,52.6,-,-,14.69,77,50,Standard
6,268.7,17.7,286.3,30.4 L,167,1870,16.5 L,10.2,0.9 L,5.9,73.1,-,-,14.69,77,50,Standard
7,267.2,7.8,274.9,14.8 L,160.8,3055,13.6 L,13.9,2.8 R,7.1,112.1,-,-,14.69,77,50,Standard
8,257.3,4.7,262,22.7 L,158.6,4316,0.3 L,13,4.9 L,7.3,118,-,-,14.69,77,50,Standard
9,51.7,1.9,53.7,0.1 R,54.5,8396,7.1 R,30.4,1.4 L,3.1,30,-,-,14.69,77,50,Standard
10,141.7,1.2,142.9,5 L,105.1,6959,0.8 R,21.4,2.4 L,5.7,86.4,-,-,14.69,77,50,Standard
11,163.5,0.1,163.4,15.2 L,124,8264,1.2 L,24.5,4.6 L,7.1,142,-,-,14.69,77,50,Standard
12,262,5.4,267.4,4.1 L,159.8,3958,0.4 L,12.9,0.7 L,7.3,115.5,-,-,14.69,77,50,Standard
13,269.7,5.2,274.9,18.7 R,166.1,4222,11.3 R,12.1,1.7 L,7.4,116.4,-,-,14.69,77,50,Standard
14,180.5,2,182.5,6.6 L,124.8,6230,2.1 L,16.9,1 L,6.4,99.8,-,-,14.69,77,50,Standard
15,165.9,0.3,166.2,11.9 R,123.6,7925,7.3 R,23.1,0.2 L,6.9,132.9,-,-,14.69,77,50,Standard
16,280.9,9.4,290.2,2.4 R,167.3,2779,0.2 R,11.6,0.4 R,7,101.4,-,-,14.69,77,50,Standard
17,283.5,5.4,288.9,14.6 L,169.8,3739,1.9 L,13.3,2 L,7.7,131.4,-,-,14.69,77,50,Standard
18,148.5,0.7,147.8,9.8 L,119.6,9065,2.4 L,28.4,2.3 L,7.2,149.9,-,-,14.69,77,50,Standard
19,169.3,1,170.3,0.4 R,121.9,6903,0.3 L,22.5,0.3 R,6.8,125.7,-,-,14.69,77,50,Standard
20,167.7,0.1,167.8,2.8 R,125.2,8287,4.4 R,22.3,1.7 L,7,133.4,-,-,14.69,77,50,Standard
21,120.2,0.4,119.7,4.4 R,97.7,10406,0.8 R,24.6,1.7 R,5.6,86.6,-,-,14.69,77,50,Standard
22,291.3,10.5,301.7,13.7 R,169.8,2146,5.2 L,13.3,4.8 R,7.1,112.6,-,-,14.69,77,50,Standard
23,288.7,7.2,295.9,24 L,171.6,3211,6.6 L,12.5,1.7 L,7.5,119.4,-,-,14.69,77,50,Standard
24,96.8,0.8,95.9,6.2 R,85.2,10594,7.6 R,32,0.3 R,5.3,84.3,-,-,14.69,77,50,Standard
25,98.4,0.5,97.9,2.4 R,84,10360,1.2 R,27.5,0.9 R,5,69.7,-,-,14.69,77,50,Standard
26,164.7,1.3,166,7.5 R,118,6997,0.4 R,18.2,2.4 R,6.2,96.2,-,-,14.69,77,50,Standard
27,196.1,2.1,198.2,3.2 L,132.9,5990,3 R,18.5,2.6 L,7,123.5,-,-,14.69,77,50,Standard
